Stage 3 Iter  5400 Time:1.2e+03 # Loss:8.46e+08, Loss_r:8.46e+08, Loss_b:3.02e+00, Loss_0:3.24e+00 # Valid:2.98e+09, RL2:2.77e+00
Stage 3 Iter  5500 Time:1.2e+03 # Loss:3.36e+07, Loss_r:3.36e+07, Loss_b:3.39e+00, Loss_0:3.30e+00 # Valid:2.15e+09, RL2:2.74e+00
Stage 3 Iter  5600 Time:1.2e+03 # Loss:2.08e+07, Loss_r:2.08e+07, Loss_b:3.21e+00, Loss_0:3.43e+00 # Valid:7.51e+09, RL2:2.62e+00
Stage 3 Iter  5700 Time:1.3e+03 # Loss:4.09e+07, Loss_r:4.09e+07, Loss_b:2.60e+00, Loss_0:2.95e+00 # Valid:1.27e+10, RL2:2.50e+00
Stage 3 Iter  5800 Time:1.3e+03 # Loss:1.82e+07, Loss_r:1.82e+07, Loss_b:2.61e+00, Loss_0:2.96e+00 # Valid:1.71e+08, RL2:2.54e+00
Stage 3 Iter  5900 Time:1.3e+03 # Loss:2.66e+07, Loss_r:2.66e+07, Loss_b:2.64e+00, Loss_0:2.81e+00 # Valid:1.36e+10, RL2:2.52e+00
Stage 3 Iter  6000 Time:1.3e+03 # Loss:4.28e+09, Loss_r:4.28e+09, Loss_b:2.64e+00, Loss_0:2.81e+00 # Valid:1.01e+09, RL2:2.56e+00
Stage 3 Iter  6100 Time:1.3e+03 # Loss:1.52e+07, Loss_r:1.52e+07, Loss_b:2.67e+00, Loss_0:2.90e+00 # Valid:1.66e+09, RL2:2.36e+00
Stage 3 Iter  6200 Time:1.4e+03 # Loss:4.11e+07, Loss_r:4.11e+07, Loss_b:2.58e+00, Loss_0:2.57e+00 # Valid:1.16e+11, RL2:2.47e+00
Stage 3 Iter  6300 Time:1.4e+03 # Loss:1.97e+07, Loss_r:1.97e+07, Loss_b:2.34e+00, Loss_0:2.70e+00 # Valid:3.61e+09, RL2:2.42e+00
Stage 3 Iter  6400 Time:1.4e+03 # Loss:2.91e+07, Loss_r:2.91e+07, Loss_b:2.01e+00, Loss_0:2.67e+00 # Valid:6.84e+09, RL2:2.39e+00
Stage 3 Iter  6500 Time:1.4e+03 # Loss:3.22e+07, Loss_r:3.22e+07, Loss_b:2.39e+00, Loss_0:2.32e+00 # Valid:6.76e+08, RL2:2.19e+00
Stage 3 Iter  6600 Time:1.5e+03 # Loss:2.81e+09, Loss_r:2.81e+09, Loss_b:2.39e+00, Loss_0:2.32e+00 # Valid:9.70e+09, RL2:2.40e+00
Stage 3 Iter  6700 Time:1.5e+03 # Loss:1.39e+08, Loss_r:1.39e+08, Loss_b:3.48e+00, Loss_0:3.57e+00 # Valid:6.00e+07, RL2:2.86e+00
Stage 3 Iter  6800 Time:1.5e+03 # Loss:1.71e+07, Loss_r:1.71e+07, Loss_b:3.57e+00, Loss_0:3.98e+00 # Valid:4.69e+07, RL2:2.87e+00
Stage 3 Iter  6900 Time:1.5e+03 # Loss:1.44e+07, Loss_r:1.44e+07, Loss_b:3.55e+00, Loss_0:4.19e+00 # Valid:1.69e+08, RL2:2.83e+00
Stage 3 Iter  7000 Time:1.5e+03 # Loss:2.26e+07, Loss_r:2.26e+07, Loss_b:3.71e+00, Loss_0:3.96e+00 # Valid:2.75e+08, RL2:2.82e+00
Stage 3 Iter  7100 Time:1.6e+03 # Loss:1.20e+07, Loss_r:1.20e+07, Loss_b:3.63e+00, Loss_0:3.79e+00 # Valid:4.34e+07, RL2:2.78e+00
Stage 3 Iter  7200 Time:1.6e+03 # Loss:1.94e+08, Loss_r:1.94e+08, Loss_b:3.63e+00, Loss_0:3.79e+00 # Valid:4.33e+08, RL2:2.90e+00
Stage 3 Iter  7300 Time:1.6e+03 # Loss:1.30e+07, Loss_r:1.30e+07, Loss_b:3.16e+00, Loss_0:3.98e+00 # Valid:1.10e+08, RL2:2.76e+00
Stage 3 Iter  7400 Time:1.6e+03 # Loss:1.03e+07, Loss_r:1.03e+07, Loss_b:3.36e+00, Loss_0:3.80e+00 # Valid:4.85e+09, RL2:2.79e+00
Stage 3 Iter  7500 Time:1.7e+03 # Loss:1.47e+07, Loss_r:1.47e+07, Loss_b:3.43e+00, Loss_0:3.79e+00 # Valid:1.55e+10, RL2:2.88e+00
Stage 3 Iter  7600 Time:1.7e+03 # Loss:1.43e+07, Loss_r:1.43e+07, Loss_b:3.43e+00, Loss_0:3.97e+00 # Valid:5.45e+08, RL2:3.00e+00
Stage 3 Iter  7700 Time:1.7e+03 # Loss:1.14e+07, Loss_r:1.14e+07, Loss_b:3.39e+00, Loss_0:3.73e+00 # Valid:2.66e+07, RL2:2.89e+00
Stage 3 Iter  7800 Time:1.7e+03 # Loss:8.58e+08, Loss_r:8.58e+08, Loss_b:3.39e+00, Loss_0:3.73e+00 # Valid:3.54e+10, RL2:2.82e+00
Stage 3 Iter  7900 Time:1.7e+03 # Loss:8.02e+06, Loss_r:8.02e+06, Loss_b:3.69e+00, Loss_0:3.79e+00 # Valid:7.40e+09, RL2:3.02e+00
Stage 3 Iter  8000 Time:1.8e+03 # Loss:1.81e+07, Loss_r:1.81e+07, Loss_b:3.42e+00, Loss_0:4.07e+00 # Valid:3.82e+07, RL2:2.93e+00
