Iter  7200 Time:2.6e+03 # Loss:1.63e+03, Loss_r:1.31e+03, Loss_b:3.16e+00 # Valid:7.25e+03, RL2:8.87e+00
Iter  7300 Time:2.6e+03 # Loss:1.76e+03, Loss_r:1.47e+03, Loss_b:2.89e+00 # Valid:1.85e+03, RL2:7.13e+00
Iter  7400 Time:2.7e+03 # Loss:1.70e+03, Loss_r:1.40e+03, Loss_b:3.03e+00 # Valid:1.84e+03, RL2:7.83e+00
Iter  7500 Time:2.7e+03 # Loss:1.72e+03, Loss_r:1.40e+03, Loss_b:3.13e+00 # Valid:2.31e+03, RL2:8.25e+00
Iter  7600 Time:2.7e+03 # Loss:1.57e+03, Loss_r:1.26e+03, Loss_b:3.12e+00 # Valid:1.83e+03, RL2:8.07e+00
Iter  7700 Time:2.8e+03 # Loss:1.61e+03, Loss_r:1.30e+03, Loss_b:3.12e+00 # Valid:2.67e+03, RL2:8.75e+00
Iter  7800 Time:2.8e+03 # Loss:1.56e+03, Loss_r:1.24e+03, Loss_b:3.23e+00 # Valid:4.29e+03, RL2:8.83e+00
Iter  7900 Time:2.9e+03 # Loss:1.70e+03, Loss_r:1.41e+03, Loss_b:2.84e+00 # Valid:1.89e+03, RL2:7.83e+00
Iter  8000 Time:2.9e+03 # Loss:1.71e+03, Loss_r:1.40e+03, Loss_b:3.11e+00 # Valid:1.81e+03, RL2:8.12e+00
Iter  8100 Time:2.9e+03 # Loss:1.62e+03, Loss_r:1.31e+03, Loss_b:3.08e+00 # Valid:3.33e+03, RL2:9.46e+00
Iter  8200 Time:3.0e+03 # Loss:1.59e+03, Loss_r:1.27e+03, Loss_b:3.18e+00 # Valid:2.61e+03, RL2:9.32e+00
Iter  8300 Time:3.0e+03 # Loss:1.67e+03, Loss_r:1.34e+03, Loss_b:3.27e+00 # Valid:1.67e+03, RL2:8.43e+00
Iter  8400 Time:3.0e+03 # Loss:1.81e+03, Loss_r:1.49e+03, Loss_b:3.15e+00 # Valid:1.88e+03, RL2:7.61e+00
Iter  8500 Time:3.1e+03 # Loss:1.74e+03, Loss_r:1.40e+03, Loss_b:3.31e+00 # Valid:1.84e+03, RL2:8.16e+00
Iter  8600 Time:3.1e+03 # Loss:1.65e+03, Loss_r:1.34e+03, Loss_b:3.15e+00 # Valid:1.76e+03, RL2:8.46e+00
Iter  8700 Time:3.1e+03 # Loss:1.66e+03, Loss_r:1.35e+03, Loss_b:3.11e+00 # Valid:1.85e+03, RL2:8.50e+00
Iter  8800 Time:3.2e+03 # Loss:1.55e+03, Loss_r:1.24e+03, Loss_b:3.18e+00 # Valid:2.39e+03, RL2:8.60e+00
Iter  8900 Time:3.2e+03 # Loss:1.72e+03, Loss_r:1.42e+03, Loss_b:3.00e+00 # Valid:1.69e+03, RL2:7.99e+00
Iter  9000 Time:3.2e+03 # Loss:1.53e+03, Loss_r:1.23e+03, Loss_b:3.04e+00 # Valid:2.03e+03, RL2:8.39e+00
Iter  9100 Time:3.3e+03 # Loss:1.55e+03, Loss_r:1.22e+03, Loss_b:3.35e+00 # Valid:2.89e+03, RL2:9.14e+00
Iter  9200 Time:3.3e+03 # Loss:1.53e+03, Loss_r:1.21e+03, Loss_b:3.20e+00 # Valid:3.41e+03, RL2:9.06e+00
Iter  9300 Time:3.4e+03 # Loss:1.79e+03, Loss_r:1.46e+03, Loss_b:3.26e+00 # Valid:1.76e+03, RL2:7.95e+00
Iter  9400 Time:3.4e+03 # Loss:1.60e+03, Loss_r:1.29e+03, Loss_b:3.15e+00 # Valid:1.78e+03, RL2:8.61e+00
